Full Date,Date ID,Year,Quarter,Month,Month Name,Day,Weekday,Is Weekend
2014-05-07,118,2014,2,5,May,7,Wednesday,False
2014-05-08,119,2014,2,5,May,8,Thursday,False
2014-05-09,120,2014,2,5,May,9,Friday,False
2014-05-10,121,2014,2,5,May,10,Saturday,True
2014-05-11,122,2014,2,5,May,11,Sunday,True
2014-05-12,123,2014,2,5,May,12,Monday,False
2014-05-13,124,2014,2,5,May,13,Tuesday,False
2014-05-14,125,2014,2,5,May,14,Wednesday,False
2014-05-15,126,2014,2,5,May,15,Thursday,False
2014-05-16,127,2014,2,5,May,16,Friday,False
2014-05-17,128,2014,2,5,May,17,Saturday,True
2014-05-18,129,2014,2,5,May,18,Sunday,True
2014-05-19,130,2014,2,5,May,19,Monday,False
2014-05-20,131,2014,2,5,May,20,Tuesday,False
2014-05-21,132,2014,2,5,May,21,Wednesday,False
2014-05-22,133,2014,2,5,May,22,Thursday,False
2014-05-23,134,2014,2,5,May,23,Friday,False
2014-05-24,135,2014,2,5,May,24,Saturday,True
2014-05-25,136,2014,2,5,May,25,Sunday,True
2014-05-26,137,2014,2,5,May,26,Monday,False
2014-05-27,138,2014,2,5,May,27,Tuesday,False
2014-05-28,139,2014,2,5,May,28,Wednesday,False
2014-05-29,140,2014,2,5,May,29,Thursday,False
2014-05-30,141,2014,2,5,May,30,Friday,False
2014-05-31,142,2014,2,5,May,31,Saturday,True
2014-06-01,143,2014,2,6,June,1,Sunday,True
2014-06-02,144,2014,2,6,June,2,Monday,False
2014-06-03,145,2014,2,6,June,3,Tuesday,False
2014-06-04,146,2014,2,6,June,4,Wednesday,False
2014-06-05,147,2014,2,6,June,5,Thursday,False
2014-06-06,148,2014,2,6,June,6,Friday,False
2014-06-07,149,2014,2,6,June,7,Saturday,True
2014-06-08,150,2014,2,6,June,8,Sunday,True
2014-06-09,151,2014,2,6,June,9,Monday,False
2014-06-10,152,2014,2,6,June,10,Tuesday,False
2014-06-11,153,2014,2,6,June,11,Wednesday,False
2014-06-12,154,2014,2,6,June,12,Thursday,False
2014-06-13,155,2014,2,6,June,13,Friday,False
2014-06-14,156,2014,2,6,June,14,Saturday,True
2014-06-15,157,2014,2,6,June,15,Sunday,True
2014-06-16,158,2014,2,6,June,16,Monday,False
2014-06-17,159,2014,2,6,June,17,Tuesday,False
2014-06-18,160,2014,2,6,June,18,Wednesday,False
2014-06-20,161,2014,2,6,June,20,Friday,False
2014-06-21,162,2014,2,6,June,21,Saturday,True
2014-06-22,163,2014,2,6,June,22,Sunday,True
2014-06-23,164,2014,2,6,June,23,Monday,False
2014-06-24,165,2014,2,6,June,24,Tuesday,False
2014-06-25,166,2014,2,6,June,25,Wednesday,False
2014-06-26,167,2014,2,6,June,26,Thursday,False
2014-06-27,168,2014,2,6,June,27,Friday,False
2014-06-28,169,2014,2,6,June,28,Saturday,True
2014-06-29,170,2014,2,6,June,29,Sunday,True
2014-06-30,171,2014,2,6,June,30,Monday,False
2014-07-01,172,2014,3,7,July,1,Tuesday,False
2014-07-02,173,2014,3,7,July,2,Wednesday,False
2014-07-03,174,2014,3,7,July,3,Thursday,False
2014-07-04,175,2014,3,7,July,4,Friday,False
2014-07-05,176,2014,3,7,July,5,Saturday,True
2014-07-06,177,2014,3,7,July,6,Sunday,True
2014-07-07,178,2014,3,7,July,7,Monday,False
2014-07-08,179,2014,3,7,July,8,Tuesday,False
2014-07-09,180,2014,3,7,July,9,Wednesday,False
2014-07-10,181,2014,3,7,July,10,Thursday,False
2014-07-11,182,2014,3,7,July,11,Friday,False
2014-07-12,183,2014,3,7,July,12,Saturday,True
2014-07-13,184,2014,3,7,July,13,Sunday,True
2014-07-14,185,2014,3,7,July,14,Monday,False
2014-07-15,186,2014,3,7,July,15,Tuesday,False
2014-07-16,187,2014,3,7,July,16,Wednesday,False
2014-07-17,188,2014,3,7,July,17,Thursday,False
2014-07-18,189,2014,3,7,July,18,Friday,False
2014-07-19,190,2014,3,7,July,19,Saturday,True
2014-07-20,191,2014,3,7,July,20,Sunday,True
2014-07-21,192,2014,3,7,July,21,Monday,False
2014-07-22,193,2014,3,7,July,22,Tuesday,False
2014-07-23,194,2014,3,7,July,23,Wednesday,False
2014-07-24,195,2014,3,7,July,24,Thursday,False
2014-07-25,196,2014,3,7,July,25,Friday,False
2014-07-26,197,2014,3,7,July,26,Saturday,True
2014-07-27,198,2014,3,7,July,27,Sunday,True
2014-07-28,199,2014,3,7,July,28,Monday,False
2014-07-29,200,2014,3,7,July,29,Tuesday,False
2014-07-30,201,2014,3,7,July,30,Wednesday,False
2014-08-01,202,2014,3,8,August,1,Friday,False
2014-08-02,203,2014,3,8,August,2,Saturday,True
2014-08-03,204,2014,3,8,August,3,Sunday,True
2014-08-04,205,2014,3,8,August,4,Monday,False
2014-08-05,206,2014,3,8,August,5,Tuesday,False
2014-08-06,207,2014,3,8,August,6,Wednesday,False
2014-08-07,208,2014,3,8,August,7,Thursday,False
2014-08-08,209,2014,3,8,August,8,Friday,False
2014-08-09,210,2014,3,8,August,9,Saturday,True
2014-08-10,211,2014,3,8,August,10,Sunday,True
2014-08-11,212,2014,3,8,August,11,Monday,False
2014-08-12,213,2014,3,8,August,12,Tuesday,False
2014-08-13,214,2014,3,8,August,13,Wednesday,False
2014-08-14,215,2014,3,8,August,14,Thursday,False
2014-08-15,216,2014,3,8,August,15,Friday,False
2014-08-16,217,2014,3,8,August,16,Saturday,True
2014-08-17,218,2014,3,8,August,17,Sunday,True
2014-08-18,219,2014,3,8,August,18,Monday,False
2014-08-19,220,2014,3,8,August,19,Tuesday,False
2014-08-20,221,2014,3,8,August,20,Wednesday,False
2014-08-21,222,2014,3,8,August,21,Thursday,False
2014-08-22,223,2014,3,8,August,22,Friday,False
2014-08-23,224,2014,3,8,August,23,Saturday,True
2014-08-24,225,2014,3,8,August,24,Sunday,True
2014-08-25,226,2014,3,8,August,25,Monday,False
2014-08-26,227,2014,3,8,August,26,Tuesday,False
2014-08-27,228,2014,3,8,August,27,Wednesday,False
2014-08-28,229,2014,3,8,August,28,Thursday,False
2014-08-29,230,2014,3,8,August,29,Friday,False
2014-08-30,231,2014,3,8,August,30,Saturday,True
2014-08-31,232,2014,3,8,August,31,Sunday,True
2014-09-01,233,2014,3,9,September,1,Monday,False
2014-09-02,234,2014,3,9,September,2,Tuesday,False
2014-09-03,235,2014,3,9,September,3,Wednesday,False
2014-09-04,236,2014,3,9,September,4,Thursday,False
2014-09-05,237,2014,3,9,September,5,Friday,False
2014-09-06,238,2014,3,9,September,6,Saturday,True
2014-09-07,239,2014,3,9,September,7,Sunday,True
2014-09-08,240,2014,3,9,September,8,Monday,False
2014-09-09,241,2014,3,9,September,9,Tuesday,False
2014-09-10,242,2014,3,9,September,10,Wednesday,False
2014-09-11,243,2014,3,9,September,11,Thursday,False
2014-09-12,244,2014,3,9,September,12,Friday,False
2014-09-13,245,2014,3,9,September,13,Saturday,True
2014-09-14,246,2014,3,9,September,14,Sunday,True
2014-09-15,247,2014,3,9,September,15,Monday,False
2014-09-16,248,2014,3,9,September,16,Tuesday,False
2014-09-17,249,2014,3,9,September,17,Wednesday,False
2014-09-18,250,2014,3,9,September,18,Thursday,False
2014-09-19,251,2014,3,9,September,19,Friday,False
2014-09-20,252,2014,3,9,September,20,Saturday,True
2014-09-21,253,2014,3,9,September,21,Sunday,True
2014-09-22,254,2014,3,9,September,22,Monday,False
2014-09-23,255,2014,3,9,September,23,Tuesday,False
2014-09-24,256,2014,3,9,September,24,Wednesday,False
2014-09-25,257,2014,3,9,September,25,Thursday,False
2014-09-26,258,2014,3,9,September,26,Friday,False
2014-09-27,259,2014,3,9,September,27,Saturday,True
2014-09-28,260,2014,3,9,September,28,Sunday,True
2014-09-29,261,2014,3,9,September,29,Monday,False
2014-09-30,262,2014,3,9,September,30,Tuesday,False
2014-10-01,263,2014,4,10,October,1,Wednesday,False
2014-10-02,264,2014,4,10,October,2,Thursday,False
2014-10-03,265,2014,4,10,October,3,Friday,False
2014-10-04,266,2014,4,10,October,4,Saturday,True
2014-10-05,267,2014,4,10,October,5,Sunday,True
2014-10-06,268,2014,4,10,October,6,Monday,False
2014-10-07,269,2014,4,10,October,7,Tuesday,False
2014-10-08,270,2014,4,10,October,8,Wednesday,False
2014-10-09,271,2014,4,10,October,9,Thursday,False
2014-10-10,272,2014,4,10,October,10,Friday,False
2014-10-11,273,2014,4,10,October,11,Saturday,True
2014-10-12,274,2014,4,10,October,12,Sunday,True
2014-10-13,275,2014,4,10,October,13,Monday,False
